"Species","specialization_NHD","specialization_FAG","Class","Order","Family","Habitats_IUCN","specialization"
"Regulus ignicapilla","natural","forest","Aves","Passeriformes","Regulidae","Forest - Temperate [Suitable]; Forest - Temperate [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]","natural"
"Regulus regulus","human_dominated","forest","Aves","Passeriformes","Regulidae","Artificial/Terrestrial - Rural Gardens [Suitable]; Forest - Temperate [Suitable]; Artificial/Terrestrial - Rural Gardens [Suitable]; Forest - Boreal [Suitable]; Forest - Boreal [Suitable]; Forest - Temperate [Suitable]","human_dominated"
"Remiz pendulinus","natural","forest","Aves","Passeriformes","Remizidae","Shrubland - Temperate [Suitable]; Forest - Temperate [Suitable]; Wetlands (inland) - Shrub Dominated Wetlands [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]","natural"
"Rhinolophus blasii","natural","generalist","Mammalia","Chiroptera","Rhinolophidae","Caves and Subterranean Habitats (non-aquatic) - Other Subterranean Habitats [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Caves and Subterranean Habitats (non-aquatic) - Caves [Suitable]","natural"
"Rhinolophus euryale","natural","forest","Mammalia","Chiroptera","Rhinolophidae","Caves and Subterranean Habitats (non-aquatic) - Caves [Suitable]; Caves and Subterranean Habitats (non-aquatic) - Other Subterranean Habitats [Suitable]; Shrubland - Temperate [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Forest - Temperate [Suitable]","natural"
"Rhinolophus ferrumequinum","human_dominated","generalist","Mammalia","Chiroptera","Rhinolophidae","Artificial/Terrestrial - Urban Areas [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Caves and Subterranean Habitats (non-aquatic) - Other Subterranean Habitats [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Forest - Temperate [Suitable]; Grassland - Temperate [Suitable]; Caves and Subterranean Habitats (non-aquatic) - Caves [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]","human_dominated"
"Rhinolophus hipposideros","human_dominated","forest","Mammalia","Chiroptera","Rhinolophidae","Artificial/Terrestrial - Urban Areas [Suitable]; Caves and Subterranean Habitats (non-aquatic) - Caves [Suitable]; Grassland - Temperate [Suitable]; Shrubland - Temperate [Suitable]; Caves and Subterranean Habitats (non-aquatic) - Other Subterranean Habitats [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Forest - Temperate [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]","human_dominated"
"Rhinolophus mehelyi","natural","forest","Mammalia","Chiroptera","Rhinolophidae","Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Caves and Subterranean Habitats (non-aquatic) - Caves [Suitable]; Forest - Temperate [Suitable]; Caves and Subterranean Habitats (non-aquatic) - Other Subterranean Habitats [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]","natural"
"Riparia riparia","natural","generalist","Aves","Passeriformes","Hirundinidae","Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Rocky areas (eg. inland cliffs, mountain peaks) [Suitable]; Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha) [Suitable]; Grassland - Temperate [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]","natural"
"Rissa tridactyla","natural","generalist","Aves","Charadriiformes","Laridae","Marine Neritic - Pelagic [Suitable]; Marine Neritic - Subtidal Sandy [Suitable]; Marine Coastal/Supratidal - Sea Cliffs and Rocky Offshore Islands [Suitable]; Marine Neritic - Pelagic [Suitable]; Marine Neritic - Macroalgal/Kelp [Suitable]; Marine Neritic - Subtidal Loose Rock/pebble/gravel [Suitable]; Marine Neritic - Subtidal Sandy [Suitable]; Marine Oceanic - Epipelagic (0-200m) [Suitable]; Marine Neritic - Subtidal Sandy-Mud [Suitable]; Marine Neritic - Seagrass (Submerged) [Suitable]; Marine Neritic - Subtidal Rock and Rocky Reefs [Suitable]; Marine Intertidal - Rocky Shoreline [Marginal]; Marine Intertidal - Sandy Shoreline and/or Beaches, Sand Bars, Spits, Etc [Marginal]; Marine Neritic - Subtidal Sandy-Mud [Suitable]; Marine Neritic - Seagrass (Submerged) [Suitable]; Marine Neritic - Subtidal Loose Rock/pebble/gravel [Suitable]; Marine Oceanic - Epipelagic (0-200m) [Suitable]; Marine Intertidal - Tidepools [Marginal]; Marine Neritic - Macroalgal/Kelp [Suitable]; Marine Neritic - Subtidal Rock and Rocky Reefs [Suitable]","natural"
"Rupicapra pyrenaica","natural","forest","Mammalia","Artiodactyla","Bovidae","Shrubland - Temperate [Suitable]; Rocky areas (eg. inland cliffs, mountain peaks) [Suitable]; Forest - Temperate [Suitable]; Grassland - Temperate [Suitable]","natural"
"Rupicapra rupicapra","human_dominated","generalist","Mammalia","Artiodactyla","Bovidae","Grassland - Temperate [Suitable]; Artificial/Terrestrial - Pastureland [Marginal]; Forest - Temperate [Suitable]; Rocky areas (eg. inland cliffs, mountain peaks) [Suitable]; Shrubland - Temperate [Suitable]","human_dominated"
"Saxicola rubetra","human_dominated","generalist","Aves","Passeriformes","Muscicapidae","Grassland - Temperate [Suitable]; Shrubland - Subtropical/Tropical Dry [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Grassland - Subtropical/Tropical Dry [Suitable]; Shrubland - Temperate [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Forest - Temperate [Suitable]; Shrubland - Boreal [Suitable]; Forest - Temperate [Suitable]; Artificial/Terrestrial - Rural Gardens [Suitable]; Artificial/Terrestrial - Rural Gardens [Suitable]","human_dominated"
"Saxicola torquatus","human_dominated","generalist","Aves","Passeriformes","Muscicapidae","Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha) [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Grassland - Temperate [Suitable]; Artificial/Terrestrial - Rural Gardens [Suitable]; Forest - Temperate [Suitable]; Artificial/Terrestrial - Plantations [Suitable]; Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha) [Suitable]; Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha) [Suitable]; Shrubland - Temperate [Suitable]; Artificial/Terrestrial - Plantations [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Artificial/Terrestrial - Rural Gardens [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Artificial/Terrestrial - Urban Areas [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Wetlands (inland) - Alpine Wetlands (includes temporary waters from snowmelt) [Suitable]; Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha) [Suitable]; Artificial/Terrestrial - Urban Areas [Suitable]; Forest - Boreal [Suitable]; Wetlands (inland) - Alpine Wetlands (includes temporary waters from snowmelt) [Suitable]","human_dominated"
"Sciurus anomalus","natural","forest","Mammalia","Rodentia","Sciuridae","Forest - Temperate [Suitable]; Forest - Subtropical/Tropical Dry [Suitable]","natural"
"Sciurus vulgaris","human_dominated","forest","Mammalia","Rodentia","Sciuridae","Artificial/Terrestrial - Rural Gardens [Suitable]; Forest - Boreal [Suitable]; Forest - Temperate [Suitable]; Artificial/Terrestrial - Urban Areas [Suitable]; Artificial/Terrestrial - Plantations [Suitable]","human_dominated"
"Scolopax rusticola","human_dominated","forest","Aves","Charadriiformes","Scolopacidae","Forest - Boreal [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Forest - Temperate [Suitable]; Artificial/Terrestrial - Plantations [Suitable]; Forest - Temperate [Suitable]; Artificial/Terrestrial - Plantations [Suitable]","human_dominated"
"Serinus serinus","human_dominated","generalist","Aves","Passeriformes","Fringillidae","Artificial/Terrestrial - Pastureland [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Forest - Temperate [Suitable]; Artificial/Terrestrial - Rural Gardens [Suitable]; Artificial/Terrestrial - Rural Gardens [Suitable]; Forest - Temperate [Suitable]; Artificial/Terrestrial - Plantations [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Artificial/Terrestrial - Urban Areas [Suitable]; Artificial/Terrestrial - Urban Areas [Suitable]; Artificial/Terrestrial - Plantations [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]","human_dominated"
"Sicista betulina","natural","forest","Mammalia","Rodentia","Dipodidae","Forest - Boreal [Suitable]; Grassland - Tundra [Suitable]; Grassland - Temperate [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Forest - Temperate [Suitable]","natural"
"Sicista subtilis","human_dominated","agriculture","Mammalia","Rodentia","Dipodidae","Artificial/Terrestrial - Pastureland [Suitable]; Shrubland - Temperate [Suitable]; Grassland - Temperate [Suitable]","human_dominated"
"Sitta europaea","human_dominated","forest","Aves","Passeriformes","Sittidae","Forest - Temperate [Suitable]; Artificial/Terrestrial - Rural Gardens [Suitable]; Forest - Boreal [Suitable]","human_dominated"
"Sitta neumayer","natural","generalist","Aves","Passeriformes","Sittidae","Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Rocky areas (eg. inland cliffs, mountain peaks) [Suitable]","natural"
"Somateria mollissima","natural","generalist","Aves","Anseriformes","Anatidae","Marine Intertidal - Rocky Shoreline [Suitable]; Marine Neritic - Subtidal Sandy [Suitable]; Marine Neritic - Subtidal Loose Rock/pebble/gravel [Suitable]; Marine Coastal/Supratidal - Sea Cliffs and Rocky Offshore Islands [Suitable]; Marine Neritic - Subtidal Sandy [Suitable]; Marine Neritic - Subtidal Loose Rock/pebble/gravel [Suitable]; Marine Neritic - Subtidal Sandy-Mud [Suitable]; Marine Neritic - Seagrass (Submerged) [Suitable]; Marine Neritic - Subtidal Rock and Rocky Reefs [Suitable]; Marine Neritic - Macroalgal/Kelp [Suitable]; Marine Neritic - Pelagic [Marginal]; Marine Intertidal - Tidepools [Suitable]; Wetlands (inland) - Tundra Wetlands (incl. pools and temporary waters from snowmelt) [Suitable]; Marine Coastal/Supratidal - Coastal Brackish/Saline Lagoons/Marine Lakes [Suitable]; Marine Neritic - Subtidal Sandy-Mud [Suitable]; Marine Neritic - Macroalgal/Kelp [Suitable]; Marine Coastal/Supratidal - Coastal Freshwater Lakes [Suitable]; Marine Neritic - Seagrass (Submerged) [Suitable]; Marine Neritic - Subtidal Rock and Rocky Reefs [Suitable]","natural"
"Somateria spectabilis","natural","generalist","Aves","Anseriformes","Anatidae","Marine Neritic - Subtidal Loose Rock/pebble/gravel [Suitable]; Grassland - Tundra [Suitable]; Marine Neritic - Subtidal Rock and Rocky Reefs [Suitable]; Marine Neritic - Macroalgal/Kelp [Suitable]; Marine Neritic - Seagrass (Submerged) [Suitable]; Wetlands (inland) - Tundra Wetlands (incl. pools and temporary waters from snowmelt) [Suitable]; Marine Neritic - Subtidal Sandy-Mud [Suitable]; Marine Oceanic - Epipelagic (0-200m) [Suitable]; Marine Neritic - Subtidal Sandy [Suitable]; Marine Neritic - Subtidal Loose Rock/pebble/gravel [Suitable]; Marine Neritic - Seagrass (Submerged) [Suitable]; Marine Neritic - Subtidal Sandy-Mud [Suitable]; Marine Neritic - Subtidal Sandy [Suitable]; Marine Neritic - Subtidal Rock and Rocky Reefs [Suitable]; Marine Neritic - Macroalgal/Kelp [Suitable]","natural"
"Sorex alpinus","human_dominated","generalist","Mammalia","Soricomorpha","Soricidae","Artificial/Terrestrial - Pastureland [Suitable]; Grassland - Temperate [Suitable]; Forest - Temperate [Suitable]; Rocky areas (eg. inland cliffs, mountain peaks) [Suitable]","human_dominated"
"Sorex antinorii","natural","forest","Mammalia","Soricomorpha","Soricidae","Wetlands (inland) - Shrub Dominated Wetlands [Suitable]; Grassland - Temperate [Suitable]; Forest - Temperate [Suitable]","natural"
"Sorex araneus","human_dominated","generalist","Mammalia","Soricomorpha","Soricidae","Marine Coastal/Supratidal - Coastal Sand Dunes [Marginal]; Artificial/Terrestrial - Arable Land [Marginal]; Artificial/Terrestrial - Pastureland [Marginal]; Shrubland - Temperate [Marginal]; Forest - Boreal [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Forest - Temperate [Suitable]","human_dominated"
"Sorex caecutiens","natural","forest","Mammalia","Soricomorpha","Soricidae","Shrubland - Subarctic [Suitable]; Shrubland - Boreal [Suitable]; Forest - Boreal [Suitable]; Forest - Subarctic [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Wetlands (inland) - Shrub Dominated Wetlands [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Forest - Temperate [Suitable]","natural"
"Sorex coronatus","human_dominated","generalist","Mammalia","Soricomorpha","Soricidae","Shrubland - Temperate [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Forest - Temperate [Suitable]; Artificial/Terrestrial - Arable Land [Marginal]","human_dominated"
"Sorex granarius","human_dominated","generalist","Mammalia","Soricomorpha","Soricidae","Artificial/Terrestrial - Arable Land [Suitable]; Shrubland - Temperate [Suitable]; Forest - Temperate [Suitable]; Rocky areas (eg. inland cliffs, mountain peaks) [Suitable]; Artificial/Terrestrial - Plantations [Suitable]","human_dominated"
"Sorex isodon","natural","forest","Mammalia","Soricomorpha","Soricidae","Shrubland - Boreal [Marginal]; Forest - Boreal [Suitable]; Forest - Temperate [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Rocky areas (eg. inland cliffs, mountain peaks) [Suitable]","natural"
"Sorex minutissimus","natural","forest","Mammalia","Soricomorpha","Soricidae","Forest - Boreal [Suitable]; Forest - Subarctic [Suitable]; Forest - Temperate [Suitable]; Shrubland - Boreal [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Rocky areas (eg. inland cliffs, mountain peaks) [Suitable]","natural"
"Sorex minutus","human_dominated","generalist","Mammalia","Soricomorpha","Soricidae","Marine Coastal/Supratidal - Coastal Sand Dunes [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Shrubland - Boreal [Suitable]; Shrubland - Temperate [Suitable]; Forest - Boreal [Suitable]; Grassland - Temperate [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Forest - Temperate [Suitable]","human_dominated"
"Sorex samniticus","natural","forest","Mammalia","Soricomorpha","Soricidae","Shrubland - Temperate [Suitable]; Forest - Temperate [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]","natural"
"Spalax graecus","human_dominated","generalist","Mammalia","Rodentia","Spalacidae","Artificial/Terrestrial - Arable Land [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Artificial/Terrestrial - Plantations [Suitable]; Grassland - Temperate [Suitable]; Artificial/Terrestrial - Rural Gardens [Suitable]","human_dominated"
"Spalax zemni","human_dominated","generalist","Mammalia","Rodentia","Spalacidae","Grassland - Temperate [Suitable]; Forest - Temperate [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]","human_dominated"
"Spatula clypeata","human_dominated","agriculture","Aves","Anseriformes","Anatidae","Marine Intertidal - Mud Flats and Salt Flats [Suitable]; Artificial/Aquatic - Water Storage Areas (over 8ha) [Suitable]; Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha) [Suitable]; Artificial/Aquatic - Seasonally Flooded Agricultural Land [Suitable]; Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha) [Suitable]; Marine Neritic - Estuaries [Suitable]; Marine Coastal/Supratidal - Coastal Brackish/Saline Lagoons/Marine Lakes [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Artificial/Aquatic - Wastewater Treatment Areas [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Artificial/Aquatic - Wastewater Treatment Areas [Suitable]; Artificial/Aquatic - Seasonally Flooded Agricultural Land [Suitable]; Artificial/Aquatic - Water Storage Areas (over 8ha) [Suitable]","human_dominated"
"Spatula querquedula","natural","generalist","Aves","Anseriformes","Anatidae","Marine Neritic - Estuaries [Suitable]; Wetlands (inland) - Permanent Freshwater Marshes/Pools (under 8ha) [Suitable]; Wetlands (inland) - Seasonal/Intermittent Freshwater Marshes/Pools (under 8ha) [Suitable]; Marine Coastal/Supratidal - Coastal Brackish/Saline Lagoons/Marine Lakes [Suitable]; Marine Intertidal - Salt Marshes (Emergent Grasses) [Suitable]; Grassland - Subtropical/Tropical Seasonally Wet/Flooded [Suitable]; Wetlands (inland) - Permanent Inland Deltas [Suitable]","natural"
"Spermophilus citellus","human_dominated","agriculture","Mammalia","Rodentia","Sciuridae","Artificial/Terrestrial - Rural Gardens [Marginal]; Artificial/Terrestrial - Pastureland [Suitable]; Grassland - Temperate [Suitable]","human_dominated"
"Spermophilus suslicus","human_dominated","agriculture","Mammalia","Rodentia","Sciuridae","Grassland - Temperate [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Artificial/Terrestrial - Urban Areas [Marginal]","human_dominated"
"Spilopelia senegalensis","human_dominated","agriculture","Aves","Columbiformes","Columbidae","Artificial/Terrestrial - Arable Land [Suitable]; Grassland - Temperate [Suitable]; Grassland - Subtropical/Tropical Dry [Suitable]; Artificial/Terrestrial - Rural Gardens [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Grassland - Temperate [Suitable]; Artificial/Terrestrial - Rural Gardens [Suitable]; Artificial/Terrestrial - Urban Areas [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Artificial/Terrestrial - Urban Areas [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Grassland - Subtropical/Tropical Dry [Suitable]","human_dominated"
"Spinus spinus","human_dominated","forest","Aves","Passeriformes","Fringillidae","Forest - Temperate [Suitable]; Shrubland - Temperate [Suitable]; Artificial/Terrestrial - Rural Gardens [Suitable]; Forest - Temperate [Suitable]; Forest - Boreal [Suitable]; Artificial/Terrestrial - Rural Gardens [Suitable]; Artificial/Terrestrial - Plantations [Suitable]; Forest - Boreal [Suitable]; Shrubland - Temperate [Suitable]; Artificial/Terrestrial - Plantations [Suitable]","human_dominated"
"Stenocranius gregalis","human_dominated","agriculture","Mammalia","Rodentia","Cricetidae","Artificial/Terrestrial - Arable Land [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]; Other [Suitable]; Grassland - Tundra [Suitable]; Grassland - Subarctic [Suitable]; Grassland - Temperate [Suitable]","human_dominated"
"Stercorarius longicaudus","natural","generalist","Aves","Charadriiformes","Stercorariidae","Marine Neritic - Subtidal Sandy-Mud [Suitable]; Grassland - Tundra [Suitable]; Marine Neritic - Subtidal Loose Rock/pebble/gravel [Suitable]; Marine Neritic - Macroalgal/Kelp [Suitable]; Marine Oceanic - Epipelagic (0-200m) [Suitable]; Marine Neritic - Subtidal Rock and Rocky Reefs [Suitable]; Marine Neritic - Pelagic [Suitable]; Marine Neritic - Seagrass (Submerged) [Suitable]; Marine Neritic - Subtidal Sandy [Suitable]","natural"
"Stercorarius parasiticus","natural","generalist","Aves","Charadriiformes","Stercorariidae","Marine Neritic - Macroalgal/Kelp [Suitable]; Marine Neritic - Subtidal Loose Rock/pebble/gravel [Suitable]; Marine Neritic - Subtidal Rock and Rocky Reefs [Suitable]; Marine Neritic - Subtidal Sandy [Suitable]; Marine Neritic - Pelagic [Suitable]; Grassland - Tundra [Suitable]; Marine Neritic - Subtidal Sandy-Mud [Suitable]; Marine Neritic - Seagrass (Submerged) [Suitable]; Marine Neritic - Estuaries [Suitable]; Marine Oceanic - Epipelagic (0-200m) [Suitable]","natural"
"Stercorarius pomarinus","natural","generalist","Aves","Charadriiformes","Stercorariidae","Marine Neritic - Subtidal Rock and Rocky Reefs [Suitable]; Marine Neritic - Macroalgal/Kelp [Suitable]; Wetlands (inland) - Tundra Wetlands (incl. pools and temporary waters from snowmelt) [Suitable]; Marine Neritic - Subtidal Loose Rock/pebble/gravel [Suitable]; Marine Neritic - Subtidal Sandy [Suitable]; Marine Neritic - Seagrass (Submerged) [Suitable]; Grassland - Tundra [Suitable]; Marine Oceanic - Epipelagic (0-200m) [Suitable]; Marine Neritic - Pelagic [Suitable]; Marine Neritic - Subtidal Sandy-Mud [Suitable]","natural"
"Sterna dougallii","natural","generalist","Aves","Charadriiformes","Laridae","Marine Neritic - Macroalgal/Kelp [Suitable]; Marine Oceanic - Mesopelagic (200-1000m) [Suitable]; Marine Neritic - Estuaries [Suitable]; Marine Neritic - Subtidal Sandy-Mud [Suitable]; Marine Oceanic - Epipelagic (0-200m) [Suitable]; Marine Neritic - Seagrass (Submerged) [Suitable]; Marine Neritic - Subtidal Sandy [Suitable]; Marine Neritic - Pelagic [Suitable]; Marine Intertidal - Salt Marshes (Emergent Grasses) [Marginal]; Marine Neritic - Subtidal Loose Rock/pebble/gravel [Suitable]; Marine Oceanic - Epipelagic (0-200m) [Suitable]; Marine Neritic - Subtidal Rock and Rocky Reefs [Suitable]","natural"
"Sterna hirundo","natural","generalist","Aves","Charadriiformes","Laridae","Marine Neritic - Estuaries [Suitable]; Marine Neritic - Subtidal Sandy [Suitable]; Marine Intertidal - Sandy Shoreline and/or Beaches, Sand Bars, Spits, Etc [Suitable]; Marine Neritic - Macroalgal/Kelp [Suitable]; Marine Intertidal - Rocky Shoreline [Suitable]; Marine Neritic - Pelagic [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Marine Neritic - Seagrass (Submerged) [Suitable]; Marine Neritic - Subtidal Sandy-Mud [Suitable]; Marine Coastal/Supratidal - Sea Cliffs and Rocky Offshore Islands [Suitable]; Marine Neritic - Subtidal Loose Rock/pebble/gravel [Suitable]; Marine Neritic - Subtidal Rock and Rocky Reefs [Suitable]; Marine Intertidal - Shingle and/or Pebble Shoreline and/or Beaches [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]","natural"
"Sterna paradisaea","natural","generalist","Aves","Charadriiformes","Laridae","Marine Neritic - Subtidal Sandy-Mud [Suitable]; Marine Neritic - Subtidal Loose Rock/pebble/gravel [Suitable]; Marine Intertidal - Shingle and/or Pebble Shoreline and/or Beaches [Suitable]; Marine Neritic - Seagrass (Submerged) [Suitable]; Marine Intertidal - Sandy Shoreline and/or Beaches, Sand Bars, Spits, Etc [Suitable]; Wetlands (inland) - Bogs, Marshes, Swamps, Fens, Peatlands [Suitable]; Marine Neritic - Seagrass (Submerged) [Suitable]; Wetlands (inland) - Tundra Wetlands (incl. pools and temporary waters from snowmelt) [Suitable]; Marine Coastal/Supratidal - Coastal Brackish/Saline Lagoons/Marine Lakes [Suitable]; Marine Neritic - Macroalgal/Kelp [Suitable]; Marine Neritic - Subtidal Rock and Rocky Reefs [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Marine Neritic - Subtidal Loose Rock/pebble/gravel [Suitable]; Marine Neritic - Subtidal Sandy [Suitable]; Grassland - Tundra [Suitable]; Marine Neritic - Macroalgal/Kelp [Suitable]; Marine Neritic - Subtidal Sandy [Suitable]; Marine Neritic - Pelagic [Suitable]; Marine Neritic - Subtidal Rock and Rocky Reefs [Suitable]; Marine Neritic - Subtidal Sandy-Mud [Suitable]; Marine Neritic - Pelagic [Suitable]","natural"
"Sternula albifrons","human_dominated","generalist","Aves","Charadriiformes","Laridae","Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Artificial/Aquatic - Salt Exploitation Sites [Suitable]; Wetlands (inland) - Seasonal/Intermittent Freshwater Lakes (over 8ha) [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Marine Neritic - Estuaries [Suitable]; Marine Neritic - Subtidal Rock and Rocky Reefs [Suitable]; Marine Neritic - Macroalgal/Kelp [Suitable]; Marine Neritic - Seagrass (Submerged) [Suitable]; Wetlands (inland) - Permanent Rivers/Streams/Creeks (includes waterfalls) [Suitable]; Marine Coastal/Supratidal - Coastal Brackish/Saline Lagoons/Marine Lakes [Suitable]; Marine Intertidal - Sandy Shoreline and/or Beaches, Sand Bars, Spits, Etc [Suitable]; Marine Neritic - Seagrass (Submerged) [Suitable]; Marine Coastal/Supratidal - Coastal Brackish/Saline Lagoons/Marine Lakes [Suitable]; Marine Coastal/Supratidal - Coastal Freshwater Lakes [Suitable]; Marine Neritic - Subtidal Loose Rock/pebble/gravel [Suitable]; Marine Coastal/Supratidal - Coastal Freshwater Lakes [Suitable]; Marine Neritic - Subtidal Sandy [Suitable]; Marine Neritic - Estuaries [Suitable]; Marine Neritic - Subtidal Loose Rock/pebble/gravel [Suitable]; Marine Neritic - Subtidal Rock and Rocky Reefs [Suitable]; Wetlands (inland) - Seasonal/Intermittent Freshwater Lakes (over 8ha) [Suitable]; Marine Neritic - Subtidal Sandy-Mud [Suitable]; Marine Neritic - Subtidal Sandy-Mud [Suitable]; Marine Neritic - Pelagic [Marginal]; Marine Neritic - Macroalgal/Kelp [Suitable]; Marine Neritic - Subtidal Sandy [Suitable]; Wetlands (inland) - Permanent Freshwater Lakes (over 8ha) [Suitable]; Artificial/Aquatic - Salt Exploitation Sites [Suitable]","human_dominated"
"Streptopelia decaocto","human_dominated","generalist","Aves","Columbiformes","Columbidae","Artificial/Terrestrial - Rural Gardens [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Shrubland - Temperate [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Artificial/Terrestrial - Urban Areas [Suitable]; Artificial/Terrestrial - Urban Areas [Suitable]; Shrubland - Boreal [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Artificial/Terrestrial - Plantations [Suitable]; Artificial/Terrestrial - Plantations [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Shrubland - Boreal [Suitable]; Artificial/Terrestrial - Rural Gardens [Suitable]; Shrubland - Temperate [Suitable]","human_dominated"
"Streptopelia turtur","human_dominated","generalist","Aves","Columbiformes","Columbidae","Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Artificial/Terrestrial - Rural Gardens [Suitable]; Forest - Boreal [Suitable]; Shrubland - Temperate [Suitable]; Forest - Temperate [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]","human_dominated"
"Strix aluco","human_dominated","generalist","Aves","Strigiformes","Strigidae","Artificial/Terrestrial - Subtropical/Tropical Heavily Degraded Former Forest [Suitable]; Artificial/Terrestrial - Plantations [Suitable]; Forest - Boreal [Suitable]; Shrubland - Boreal [Suitable]; Artificial/Terrestrial - Rural Gardens [Suitable]; Shrubland - Mediterranean-type Shrubby Vegetation [Suitable]; Forest - Temperate [Suitable]; Shrubland - Temperate [Suitable]; Artificial/Terrestrial - Arable Land [Suitable]; Artificial/Terrestrial - Urban Areas [Suitable]; Artificial/Terrestrial - Pastureland [Suitable]","human_dominated"
